Z10016                  102 53 14 1.6
Z10020                  102 53 15 2.0

Z15012                  152 65 16 1.2
Z15016                  152 65 17 1.6
Z15020                  152 65 18 2.0
Z15025                  152 66 20 2.5

Z20016                  203 79 15 1.6
Z20020                  203 79 19 2.0
Z20025                  203 79 21 2.5
