610 UB 125              612  229 20 12 14
610 UB 113              607  228 17 11 14
610 UB 101              602  228 15 11 14

530 UB 92               533  209 16 10 14
530 UB 82               528  209 13 10 14

460 UB 82               460  191 16 10 11
460 UB 75               457  191 15 9  11
460 UB 67               454  190 13 9  11

410 UB 60               406  178 13 8  11
410 UB 54               403  178 11 8  11

360 UB 57               359  172 13 8  11
360 UB 51               356  172 12 7  11
360 UB 45               352  171 10 7  11

310 UB 46               307  166 12 7  11
310 UB 40               304  165 10 6  11
310 UB 32               298  149  8 6  13

250 UB 37               256  146 11 6  9
250 UB 31               252  146  9 6  9
250 UB 26               248  124  8 5  12

200 UB 30               207  134 10 6  9
200 UB 25               203  133 8  6  9
200 UB 22               202  133 7  5  9
200 UB 18               198   99 7  5  11

180 UB 22               179  90  10 6  9
180 UB 18               175  90  8  5  9
180 UB 16               173  90  7  5  9

150 UB 18               155  75  10 6  8
150 UB 14               150  75  7  5  8
